,variable,CONTROL mean,CONTROL std,COVID mean,COVID std,p value(test T),p value (test Mann Whitneyu)
0,aparc-a2009s-volume_Lat_Fis-ant-Vertical_lh,0.44183999999999996,0.08868515471411587,0.43331313131313137,0.11127761262134928,0.7229565399570197,0.7626020014483815
0,aparc-a2009s-volume_Lat_Fis-ant-Vertical_mean,0.37516000000000005,0.05630362628937263,0.3720606060606061,0.08177043752292246,0.8583580040149394,0.7578624524068749
0,aparc-a2009s-volume_Lat_Fis-post_rh,1.777,0.1960567519877854,1.7842727272727272,0.24712777898602925,0.8916118078820038,0.7888469028140159
0,aparc-a2009s-volume_Lat_Fis-post_lh,1.38884,0.22513045847537677,1.3701212121212119,0.19214191570280637,0.6751447656329592,0.7086375334951837
0,aparc-a2009s-volume_Lat_Fis-post_mean,1.5829200000000003,0.18501704200784677,1.5771969696969699,0.19640760690957987,0.8954806730946371,0.7768887425498163
0,aparc-a2009s-volume_Pole_occipital_rh,4.71732,0.6529162605827284,4.629282828282828,0.708196819760192,0.5739525704819627,0.5561626744025812
0,aparc-a2009s-volume_Pole_occipital_lh,2.7387199999999994,0.5043634205610078,2.6822020202020203,0.432333652799335,0.5735530279839487,0.7319424630647793
0,aparc-a2009s-volume_Pole_occipital_mean,3.7280199999999994,0.5469513895219575,3.655742424242425,0.518053073100783,0.5387797824830474,0.6008684022339146
0,aparc-a2009s-volume_Pole_temporal_rh,6.25816,0.5129837294365842,5.808787878787878,0.9160707493478659,0.02004501421750654,0.00687239106695213
0,aparc-a2009s-volume_Pole_temporal_lh,5.492400000000001,0.6854052329340163,5.5690202020202015,0.7236364796565709,0.6335749002080471,0.511146103452463
0,aparc-a2009s-volume_Pole_temporal_mean,5.875279999999999,0.5254701680400135,5.688904040404039,0.7082300541316681,0.2205440269039322,0.32817436352604
0,aparc-a2009s-volume_S_calcarine_rh,2.8253599999999994,0.4495343776249673,2.628929292929293,0.5428729556442309,0.0976884922698375,0.06849980006221619
0,aparc-a2009s-volume_S_calcarine_lh,2.6632800000000003,0.45757171751176523,2.5633131313131314,0.47628095049602914,0.34657853030888175,0.3900822327905845
0,aparc-a2009s-volume_S_calcarine_mean,2.74432,0.4327643671791845,2.596121212121212,0.48667761660532344,0.16725908991027919,0.1301769860907409
0,aparc-a2009s-volume_S_central_rh,3.2019599999999997,0.5576474005438682,3.2748181818181816,0.5130272770652522,0.5341579173676396,0.762607074273882
0,aparc-a2009s-volume_S_central_lh,3.57156,0.44917796027855156,3.433232323232324,0.4191151959974442,0.14867063785050794,0.11799484794788108
0,aparc-a2009s-volume_S_central_mean,3.3867600000000007,0.4129732668910503,3.3540252525252523,0.40886556204355323,0.7217232482727072,0.5987015974059517
0,aparc-a2009s-volume_S_cingul-Marginalis_rh,1.80976,0.306101736900223,1.7265454545454548,0.24698803047620704,0.1548040051801585,0.14415564630530575
0,aparc-a2009s-volume_S_cingul-Marginalis_lh,1.4965599999999997,0.2528657548977323,1.3969696969696968,0.2252144762151093,0.05632813562867756,0.05748756936528219
0,aparc-a2009s-volume_S_cingul-Marginalis_mean,1.6531599999999997,0.23217799027183142,1.5617575757575755,0.20615773587078706,0.05586898240912791,0.06617060979933102
0,aparc-a2009s-volume_S_circular_insula_ant_rh,0.91636,0.17043446443330254,0.8798080808080807,0.15548841263787622,0.3050355861260607,0.37816691999978735
0,aparc-a2009s-volume_S_circular_insula_ant_lh,0.7868,0.1005907550423994,0.7836161616161615,0.14445447747531917,0.9174418075295112,0.9132074103372755
0,aparc-a2009s-volume_S_circular_insula_ant_mean,0.85158,0.12634292619691853,0.8317121212121212,0.12927285040400785,0.49170899490217057,0.6359753962386153
0,aparc-a2009s-volume_S_circular_insula_inf_rh,1.68776,0.18553038385486442,1.6685353535353535,0.2474352652151015,0.7171567888555197,0.8713597159836352
0,aparc-a2009s-volume_S_circular_insula_inf_lh,2.1144,0.24554395397430034,2.124353535353535,0.2987596232975332,0.8779934934559965,0.8836380290504176
0,aparc-a2009s-volume_S_circular_insula_inf_mean,1.9010799999999997,0.1940690749020392,1.8964444444444446,0.23407823880507594,0.9273823138237891,0.7040132035946233
0,aparc-a2009s-volume_S_circular_insula_sup_rh,1.9696799999999999,0.2892056246571517,1.8985656565656566,0.3236660587457438,0.318486129842403,0.32204628779023226
0,aparc-a2009s-volume_S_circular_insula_sup_lh,2.3242399999999996,0.3069184582262853,2.2956464646464645,0.2973210768125354,0.6701985971690861,0.6606043442047014
0,aparc-a2009s-volume_S_circular_insula_sup_mean,2.1469599999999995,0.284378046503828,2.0971060606060603,0.27561442744521825,0.4235189052473426,0.44550289671422383
0,aparc-a2009s-volume_S_collat_transv_ant_rh,1.82452,0.3397320169388416,1.684868686868687,0.36209105423981824,0.08372612107749096,0.06945200270878597
0,aparc-a2009s-volume_S_collat_transv_ant_lh,1.74464,0.2743195946337046,1.6779898989898987,0.32878696331191004,0.35214741404815364,0.2771260002096114
0,aparc-a2009s-volume_S_collat_transv_ant_mean,1.78458,0.26341323998614796,1.6814292929292929,0.3083248188665434,0.12712304580336492,0.08282872577575584
0,aparc-a2009s-volume_S_collat_transv_post_rh,0.6280399999999999,0.15285599977320702,0.5923030303030302,0.15841062983204374,0.31221719688336863,0.31448434395135627
0,aparc-a2009s-volume_S_collat_transv_post_lh,0.65432,0.1645571633202274,0.6223737373737374,0.14445234973531157,0.3387974864118021,0.4510865817570564
0,aparc-a2009s-volume_S_collat_transv_post_mean,0.64118,0.1254977489837965,0.6073383838383838,0.12333434788731783,0.22420543131928758,0.22337778598590685
0,aparc-a2009s-volume_S_front_inf_rh,2.80504,0.8918817410396963,2.555939393939394,0.6674982353898837,0.12332519032157503,0.24040225561201145
0,aparc-a2009s-volume_S_front_inf_lh,3.05072,0.6565714304882092,2.972323232323233,0.6788566141815346,0.6045299467559015,0.3205307578308789
0,aparc-a2009s-volume_S_front_inf_mean,2.92788,0.7217004699550453,2.764131313131313,0.5696247761835291,0.22707111071724304,0.2152076661242852
0,aparc-a2009s-volume_S_front_middle_rh,3.1661999999999995,0.9134897372165709,2.8977676767676765,0.7769776981576392,0.13919065653910356,0.09822163022501444
0,aparc-a2009s-volume_S_front_middle_lh,1.90572,0.3356730204628705,1.8855656565656564,0.4166824798483549,0.8231598921653903,0.7578598686066492
0,aparc-a2009s-volume_S_front_middle_mean,2.53596,0.5404236362953295,2.3916666666666666,0.5285765009409128,0.227019463818824,0.177541203484066
0,aparc-a2009s-volume_S_front_sup_rh,3.8467599999999997,1.1231918165062755,3.5420808080808075,0.7722027289694797,0.11301919289846672,0.301206362159368
0,aparc-a2009s-volume_S_front_sup_lh,4.2296000000000005,0.654103266566781,4.1505353535353535,0.7722753594931221,0.6387230987053721,0.6117458789761852
0,aparc-a2009s-volume_S_front_sup_mean,4.03818,0.7477821635788504,3.846308080808081,0.6583715326744276,0.20778624857869402,0.27850939380763406
0,aparc-a2009s-volume_S_interm_prim-Jensen_rh,0.59016,0.18421696447395933,0.5413737373737374,0.1771551024487994,0.22459011756671896,0.19732421720708493
